informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Store Keeper II,የመደብር ጠባቂ II,U,Business,Retail trade in specialized stores
Store Laborer,የሱቅ ሰራተኛ,U,Business,Retail trade in specialized stores
Store Loader,የማከማቻ ጫኝ,U,Business,Retail trade in specialized stores
Store Management Officer,የመደብር አስተዳደር ኦፊሰር,P,Business,Retail trade in specialized stores
Storyboard artist,የታሪክ ሰሌዳ አርቲስት,P,Tourism and art,Motion Picture Works
Storyboard Artist | Illustrator | Comic Book Artist,የታሪክ ሰሌዳ አርቲስት | ገላጭ | የኮሚክ መጽሐፍ አርቲስት,P,Tourism and art,Motion Picture Works
Storyboard/Concept Artist,የታሪክ ሰሌዳ / ፅንሰ-ሀሳብ አርቲስት,P,Tourism and art,Motion Picture Works
Strategic and Change Management Service Manager,ስትራቴጂክ እና ለውጥ አስተዳደር አገልግሎት አስተዳዳሪ,P,Service,Business Promotion Service
Strategic Business Developer,ስትራቴጂክ የንግድ ገንቢ,P,Service,Business Promotion Service
Strategic Communication and Marketing Manager,ስልታዊ የግንኙነት እና የግብይት ስራ አስኪያጅ,P,Service,Advertising
Strategic Growth and Development Manager,የስትራቴጂክ ዕድገትና ልማት ሥራ አስኪያጅ,P,Service,Business Promotion Service
Strategic Partnership and Relationship Officer II,የስትራቴጂክ አጋርነት እና ግንኙነት ኦፊሰር II,P,Service,Business Promotion Service
Strategic planner,ስልታዊ እቅድ አውጪ,P,Service,Business Promotion Service
Strategic Planning Analyzing Officer,የስትራቴጂክ እቅድ ትንተና ኦፊሰር,P,Service,Business Promotion Service
Strategic Planning and Reporting Expert,የስትራቴጂክ እቅድ እና የሪፖርት አቀራረብ ባለሙያ,P,Service,Business Promotion Service
Strategic Promotion and Marketing Officer,የስትራቴጂክ ፕሮሞሽን እና ግብይት ኦፊሰር,P,Service,Advertising
Strategic Sourcing Director,የስትራቴጂክ ምንጭ ዳይሬክተር,P,Service,Business Promotion Service
Strategy & Planning Manager,ስትራቴጂ እና እቅድ አስተዳዳሪ,P,Service,Business Promotion Service
Strategy Advisor/Country Desk Officer,የስትራቴጂ አማካሪ/የሀገር ዴስክ ኦፊሰር,P,Service,Business Promotion Service
Strategy Analyst,የስትራቴጂ ተንታኝ,P,Service,Business Promotion Service
Strategy and Change Management Department Director,ስትራቴጂ እና ለውጥ አስተዳደር መምሪያ ዳይሬክተር,P,Service,Management System Certification
Strategy and Change Management Officer,ስትራቴጂ እና ለውጥ አስተዳደር ኦፊሰር,P,Service,Management System Certification
Strategy Implementation and Follow–up Supervisor,የስትራቴጂ ትግበራ እና ክትትል ተቆጣጣሪ,P,Service,Management System Certification
String Art,ሕብረቁምፊ ጥበብ,P,Tourism and art,Culture and Arts Education
Structural / Geotech Engineering,መዋቅራዊ / ጂኦቴክ ኢንጂነሪንግ,P,Economic Infrastructure,Building Construction
Structural and sanitary design,መዋቅራዊ እና የንፅህና አጠባበቅ ንድፍ,P,Economic Infrastructure,Building Construction
Structural design engineer,የመዋቅር ንድፍ መሐንዲስ,P,Economic Infrastructure,Building Construction
Structural designer/Civil engineer,መዋቅራዊ ዲዛይነር / ሲቪል መሐንዲስ,P,Economic Infrastructure,Building Construction
Structural Draftsman,መዋቅራዊ ንድፍ አውጪ,P,Economic Infrastructure,Surveying & Drafting
Structural draftsman (CAD Expert),የመዋቅር ንድፍ አውጪ (CAD ኤክስፐርት),P,Economic Infrastructure,Surveying & Drafting
Structural Forman,መዋቅራዊ ፎርማን,P,Construction,Building Construction Contractor
Structural Geologist IV,መዋቅራዊ ጂኦሎጂስት IV,P,Mining and Quarrying,Mining works
Structural Superintendent,መዋቅራዊ የበላይ ተቆጣጣሪ,P,Construction,Building Construction Contractor
Structured cabling installer,የተዋቀረ የኬብል መጫኛ,P,ICT and digital work,Computer network cable installation works
Student Counsel and Social Emotional Learning Coordinator,የተማሪ ምክር እና ማህበራዊ ስሜታዊ ትምህርት አስተባባሪ,P,Service,Education counseling service
Student Guidance & Councilor,የተማሪ መመሪያ እና አማካሪ,P,Service,Education counseling service
Student Record and Data Administrator,የተማሪ መዝገብ እና የውሂብ አስተዳዳሪ,P,Service,Primary and secondary education
Student Supervisor,የተማሪ ተቆጣጣሪ,P,Service,Primary and secondary education
Student Support Dean,የተማሪ ድጋፍ ዲን,P,Service,Primary and secondary education
Student Support Service,የተማሪ ድጋፍ አገልግሎት,P,Service,Primary and secondary education
Students Affairs Officer,የተማሪዎች ጉዳይ ኃላፊ,P,Service,Primary and secondary education
Studio Booth Builder,ስቱዲዮ ቡዝ ገንቢ,P,Construction,"Carpenter, builder, and other similar construction works"
Studio Executive,ስቱዲዮ አስፈፃሚ,P,Tourism and art,Filmmaking and related work
Studio Manager,የስቱዲዮ አስተዳዳሪ,P,Tourism and art,Filmmaking and related work
Studio Photographer,ስቱዲዮ ፎቶ አንሺ,P,Service,Photographic works
Studio Production Manager,የስቱዲዮ ፕሮዳክሽን ሥራ አስኪያጅ,P,Tourism and art,Filmmaking and related work
Studio soundproofing work,ስቱዲዮ የድምፅ መከላከያ ሥራ,P,Construction,Building finishing works
Study abroad/visa consultant,የውጭ አገር ጥናት/የቪዛ አማካሪ,U,Service,Education counseling service
Study Data Collector,የጥናት መረጃ ሰብሳቢ,P,Service,Research and experimental development work in psychology
"Subcontracts Officer, Ethiopia Sustainable Peace Activity",የንዑስ ኮንትራቶች ኦፊሰር፣ ኢትዮጵያ ዘላቂ የሰላም እንቅስቃሴ,U,Service,Other services
Subgrants Officer,ንዑስ ክፍል መኮንን,P,Service,Other services
Subject Specialist,ርዕሰ ጉዳይ ስፔሻሊስት,P,Service,Primary and secondary education
Subscription Payer,የደንበኝነት ምዝገባ ከፋይ,U,Service,Other services
Subscription reseller,የደንበኝነት ምዝገባ ሻጭ,P,Service,Other services
Subsidiary Transformation Program (STP) Director,ንዑስ ትራንስፎርሜሽን ፕሮግራም (STP) ዳይሬክተር,P,Service,Management System Certification
Substitute Teachers,ምትክ አስተማሪዎች,P,Service,Primary and secondary education
subtitle writer,ንዑስ ርዕስ ጸሐፊ,P,Tourism and art,Filmmaking and related work
Sudan Regional Response Coordinator,የሱዳን ክልል ምላሽ አስተባባሪ,P,Service,Social work services
Summer Camp Kids Coordinator,የበጋ ካምፕ የልጆች አስተባባሪ,P,Service,Pre-primary education and after-school services
Summer Camp Organizer,የበጋ ካምፕ አደራጅ,P,Service,Pre-primary education and after-school services
Summertime Programming Instructor,የበጋ ፕሮግራሚንግ አስተማሪ,P,Service,Pre-primary education and after-school services
Sup Project I & II Coordinator,Sup ፕሮጀክት I & II አስተባባሪ,P,Construction,General Contractor (Except for the from Water works contractor
Supervisory USAID Development Assistance Specialist (Family Health Team Lead),ተቆጣጣሪ ዩኤስኤአይዲ የልማት እርዳታ ባለሙያ (የቤተሰብ ጤና ቡድን መሪ),P,Health,Health
Supplies & Stock Management Unit Head,አቅርቦቶች እና የአክሲዮን አስተዳደር ክፍል ኃላፊ,P,Business,Wholesale business in specialized stores
Supplies and Follow-up Officer,አቅርቦቶች እና ክትትል ኦፊሰር,P,Business,Wholesale business in specialized stores
Supplies Trading & Maintenance Manager,የግብይት እና የጥገና ሥራ አስኪያጅ,P,Business,Wholesale business in specialized stores
Supply & Procurement coordinator,የአቅርቦት እና ግዥ አስተባባሪ,P,Business,Wholesale business in specialized stores
Supply & Property Administration Division Head,አቅርቦት እና ንብረት አስተዳደር ክፍል ኃላፊ,P,Business,Wholesale business in specialized stores
Supply Activity Manager,የአቅርቦት እንቅስቃሴ አስተዳዳሪ,P,Business,Wholesale business in specialized stores
Supply and Logistics Division Head,የአቅርቦት እና ሎጂስቲክስ ክፍል ኃላፊ,P,"Logistics, transportation and communication",Other supportive transportation services
Supply and Logistics Officer,የአቅርቦት እና የሎጂስቲክስ ኦፊሰር,P,"Logistics, transportation and communication",Other supportive transportation services
Supply and Procurement Departement Head,የአቅርቦትና ግዥ ዲፓርትመንት ኃላፊ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply and Warehouse Team leader.,የአቅርቦት እና የመጋዘን ቡድን መሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Assistant,የአቅርቦት ረዳት,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain & Distribution Manager,የአቅርቦት ሰንሰለት እና ስርጭት አስተዳዳሪ,P,"Logistics, transportation and communication",Freight Transportation
Supply Chain Administrator,የአቅርቦት ሰንሰለት አስተዳዳሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply chain and ripening Supervisor,የአቅርቦት ሰንሰለት እና የበሰለ ተቆጣጣሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Business Controller,የአቅርቦት ሰንሰለት የንግድ መቆጣጠሪያ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Coordinator,የአቅርቦት ሰንሰለት አስተባባሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Director,የአቅርቦት ሰንሰለት ዳይሬክተር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Division Head,የአቅርቦት ሰንሰለት ክፍል ኃላፊ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Due Diligence Manager,የአቅርቦት ሰንሰለት ተገቢ ትጋት አስተዳዳሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply chain engineer,የአቅርቦት ሰንሰለት መሐንዲስ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Head,የአቅርቦት ሰንሰለት ራስ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Indirects Accountant,የአቅርቦት ሰንሰለት ቀጥተኛ ያልሆኑ አካውንታንት,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Junior Officer,የአቅርቦት ሰንሰለት ጁኒየር ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Modelling and Simulation,የአቅርቦት ሰንሰለት ሞዴሊንግ እና ማስመሰል,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Senior Expert,የአቅርቦት ሰንሰለት ከፍተኛ ባለሙያ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Senior Officer,የአቅርቦት ሰንሰለት ከፍተኛ ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply chain specialists,የአቅርቦት ሰንሰለት ስፔሻሊስቶች,P,Service,Logistics Supply and Support Services (outside of other business sectors)
supply chain supervisor assistant,የአቅርቦት ሰንሰለት ተቆጣጣሪ ረዳት,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Team Leader,የአቅርቦት ሰንሰለት ቡድን መሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Department Manager,አቅርቦት መምሪያ አስተዳዳሪ,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Logistics Coordinator,የአቅርቦት ሎጂስቲክስ አስተባባሪ,P,"Logistics, transportation and communication",Other supportive transportation services
Supply Management Officer,የአቅርቦት አስተዳደር ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Support Agent,የድጋፍ ወኪል,P,Service,Other services
Support and facilities Supervisor,ድጋፍ እና መገልገያዎች ተቆጣጣሪ,P,Service,General maintenance
Support Coordinator,የድጋፍ አስተባባሪ,P,Service,Other services
Support Engineer,መሐንዲስ ድጋፍ ሰጪ,P,Service,Equipment and machine installation and maintenance service
Support Service Director,የድጋፍ አገልግሎት ዳይሬክተር,P,Service,Other services
Support Service Team Leader,የድጋፍ አገልግሎት ቡድን መሪ,P,Service,Other services
Support Services Manager,የድጋፍ አገልግሎቶች አስተዳዳሪ,P,Service,Other services
"Support specialists, system administrators, and administrators",ስፔሻሊስቶችን፣ የስርዓት አስተዳዳሪዎችን እና አስተዳዳሪዎችን ይደግፉ,P,ICT and digital work,Software Design Development and Implementation Works
"Supporting & Chorus, Actors & Actresses",ደጋፊ እና መዘምራን፣ ተዋናዮች እና ተዋናዮች,P,Tourism and art,Music Band
Surgical Program Coordinator,የቀዶ ጥገና ፕሮግራም አስተባባሪ,P,Health,Health
Surveillance assistant,የክትትል ረዳት,P,Service,Security Service
Surveillance officer,የክትትል ኦፊሰር,P,Service,Security Service
Surveillance/ Security Officer,የክትትል/የደህንነት ኦፊሰር,P,Service,Security Service
Survey Collection Agent,የዳሰሳ ስብስብ ወኪል,P,Economic Infrastructure,Surveying & Drafting
Survey Collection Supervisor,የዳሰሳ ስብስብ ተቆጣጣሪ,P,Economic Infrastructure,Surveying & Drafting
Survey coordinator,የዳሰሳ አስተባባሪ,P,Economic Infrastructure,Surveying & Drafting
Survey Solutions Supervisor,የዳሰሳ መፍትሔዎች ተቆጣጣሪ,P,Economic Infrastructure,Surveying & Drafting
Sveltkit Developer,Sveltkit ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
SW Line leader,SW መስመር መሪ,P,Manufacturing,Another unmentioned factory works
SW Mechanic,SW ሜካኒክ,P,Service,Equipment and machine installation and maintenance service
SW Technician,SW ቴክኒሻን,P,Service,Equipment and machine installation and maintenance service
SWEP Regional President Advisor for Food System and Nutrition,SWEP የክልል ፕሬዘዳንት የምግብ ስርዓት እና የተመጣጠነ ምግብ አማካሪ,P,Service,Consulting around natural science
Swift (iOS) Developer,ስዊፍት (iOS) ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Swift developer,ፈጣን ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Swift Officer,ስዊፍት መኮንን,P,ICT and digital work,Software Design Development and Implementation Works
Swimming instructor,የመዋኛ አስተማሪ,P,Service,Sports Services
Switchboard Operator,የመቀየሪያ ሰሌዳ ኦፕሬተር,P,ICT and digital work,Tele Center Service
Symfony Developer.,ሲምፎኒ ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Syrup Or Processing Room Operator,ሽሮፕ ወይም ማቀነባበሪያ ክፍል ኦፕሬተር,P,Manufacturing,"Soft drinks, minerals and cannedwater production"
Syrup Preparation Junior Chemist-Juice,የሲሮፕ ዝግጅት ጁኒየር ኬሚስት-ጭማቂ,P,Manufacturing,"Soft drinks, minerals and cannedwater production"
Syrup Preparation Operator,ሽሮፕ ዝግጅት ኦፕሬተር,P,Manufacturing,"Soft drinks, minerals and cannedwater production"
system and workflow manager,የስርዓት እና የስራ ሂደት አስተዳዳሪ,P,ICT and digital work,Software Design Development and Implementation Works
System Architect,የስርዓት አርክቴክት,P,ICT and digital work,Software Design Development and Implementation Works
System Assistant,የስርዓት ረዳት,P,ICT and digital work,Software Design Development and Implementation Works
System data encoder,የስርዓት ውሂብ መቀየሪያ,P,ICT and digital work,Database organization and data processing
Systems & Change Management Coordinator,ሲስተምስ እና ለውጥ አስተዳደር አስተባባሪ,P,Service,Information and Communication Technology Consulting Service
Systems & Change Management Expert,ሲስተምስ እና ለውጥ አስተዳደር ኤክስፐርት,P,Service,Information and Communication Technology Consulting Service
Systems Administration,ስርዓቶች አስተዳደር,P,ICT and digital work,Software Design Development and Implementation Works
Tableau Developer,Tableau ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Tableau or Power BI // Data Engineer,Tableau ወይም Power BI // የውሂብ መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
Taekwondo coach,የቴኳንዶ አሰልጣኝ,P,Sport Culture and tourism,Sport
Takaful Insurance Division Manager,Takaful ኢንሹራንስ ክፍል አስተዳዳሪ,P,Service,Other services
Talent & Development Specialist,ተሰጥኦ እና ልማት ስፔሻሊስት,P,Service,Employment agencies and recruitment agencies
Talent Acquisition & Management (HR Officer),ተሰጥኦ ማግኛ እና አስተዳደር (የHR ኦፊሰር),P,Service,Employment agencies and recruitment agencies
Talent Acquisition Advisor,የተሰጥኦ ማግኛ አማካሪ,P,Service,Employment agencies and recruitment agencies
Talent Acquisition and Development Manager,ተሰጥኦ ማግኛ እና ልማት አስተዳዳሪ,P,Service,Employment agencies and recruitment agencies
Talent Acquisition Lead,የተሰጥኦ ማግኛ መሪ,P,Service,Employment agencies and recruitment agencies
Talent Acquisition Manager,ተሰጥኦ ማግኛ አስተዳዳሪ,P,Service,Employment agencies and recruitment agencies
Talent Acquisition Officer,ተሰጥኦ ማግኛ መኮንን,P,Service,Employment agencies and recruitment agencies
Talent Acquisition Partner,ተሰጥኦ ማግኛ አጋር,P,Service,Employment agencies and recruitment agencies
Talent Acquisition Specialist,ተሰጥኦ ማግኛ ስፔሻሊስት,P,Service,Employment agencies and recruitment agencies
Talent and Development Coordinator,ተሰጥኦ እና ልማት አስተባባሪ,P,Service,Employment agencies and recruitment agencies
Talent Development Manager,ተሰጥኦ ልማት አስተዳዳሪ,P,Service,Employment agencies and recruitment agencies
Talent Development Officer,የችሎታ ልማት ኦፊሰር,P,Service,Employment agencies and recruitment agencies
Talent Haunter specialist,ተሰጥኦ ሃውንተር ስፔሻሊስት,P,Service,Employment agencies and recruitment agencies
Talent Management Coordinator-Rolling base,የተሰጥኦ አስተዳደር አስተባባሪ-ሮሊንግ መሠረት,P,Service,Employment agencies and recruitment agencies
Talent Management Officer,ተሰጥኦ አስተዳደር ኦፊሰር,P,Service,Employment agencies and recruitment agencies
Talent Management Specialist,የተሰጥኦ አስተዳደር ስፔሻሊስት,P,Service,Employment agencies and recruitment agencies
Talent Manager,ተሰጥኦ አስተዳዳሪ,P,Service,Employment agencies and recruitment agencies
Talented young Bassist,ጎበዝ ወጣት ባሲስት,P,Tourism and art,Music Band
Tannery Machinery Electrician,የቆዳ ማሽነሪ ኤሌክትሪክ ባለሙያ,P,Manufacturing,Manufacture of materials used to make clothing and leather
Tapestry Worker,ቴፕስተር ሰራተኛ,P,Manufacturing,different textile materials made (excluding clothing) Manufacturing
Targeting and Registration Assistants (Enumerators),ማነጣጠር እና መመዝገቢያ ረዳቶች (ቆጣሪዎች),P,Service,Other services
Targeting and Registration Officers,የማነጣጠር እና የምዝገባ ኦፊሰሮች,P,Service,Other services
Targeting Officers,ኢላማ መኮንኖች,U,Service,Other services
Tatto house attendant,የንቅሳት ቤት ረዳት,U,Tourism and art,"Resturant,Coffee shop"
Tax and Compliance Account Specialist,የግብር እና ተገዢነት መለያ ስፔሻሊስት,P,Service,Accounting audit and adminstrative works
Tax Announcement Information Organizational Expert,የግብር ማስታወቂያ መረጃ ድርጅታዊ ኤክስፐርት,P,Service,Accounting audit and adminstrative works
Tax Calculation Novice Expert,የግብር ስሌት ጀማሪ ኤክስፐርት,P,Service,Accounting audit and adminstrative works
Tax Return Specialist,የግብር ተመላሽ ስፔሻሊስት,P,Service,Accounting audit and adminstrative works
Tax System and Tax Law Trainer,የታክስ ስርዓት እና የታክስ ህግ አሰልጣኝ,P,Service,Accounting audit and adminstrative works
Taxi booking App developer,የታክሲ ቦታ ማስያዝ መተግበሪያ ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Taxpayer Registration and Cancellation Specialist,የግብር ከፋይ ምዝገባ እና ስረዛ ስፔሻሊስት,P,Service,Accounting audit and adminstrative works
Tax-Senior Associate II,ታክስ-ሲኒየር ተባባሪ II,P,Service,Accounting audit and adminstrative works
TB Laboratory data manager,የቲቢ ላብራቶሪ መረጃ አስተዳዳሪ,P,Health,Health
TB Laboratory Program Specialist,የቲቢ ላብራቶሪ ፕሮግራም ስፔሻሊስት,P,Health,Health
TB/ COVID-19 Coordinator,ቲቢ/ ኮቪድ-19 አስተባባሪ,P,Health,Health
Tea and coffee facilitator,ሻይ እና ቡና አመቻች,U,agriculture,Coffee cultivation
TEAM LEAD: Diversified Economic Opportunities,የቡድን መሪ፡ የተለያዩ የኢኮኖሚ እድሎች,P,Service,Business Promotion Service
TEAM LEAD: Livestock Production and Marketing,የቡድን መሪ፡ የእንስሳት እርባታ እና ግብይት,P,agriculture,Livestock development
Team Leader – Centre of Excellence: Girls in Displaced Settings,ቡድን መሪ - የልህቀት ማዕከል፡ በተፈናቀሉ ቅንብሮች ውስጥ ያሉ ልጃገረዶች,P,Service,Social work services
Team Leader – Digital Banking,የቡድን መሪ - ዲጂታል ባንኪንግ,P,ICT and digital work,Software Design Development and Implementation Works
Team Leader – Operations and Client Care,የቡድን መሪ - ኦፕሬሽኖች እና የደንበኛ እንክብካቤ,P,Service,Other services
Team Leader - Production,የቡድን መሪ - ምርት,,Manufacturing,Another unmentioned factory works
Team Leader Mobile and Internet Banking Service,የቡድን መሪ የሞባይል እና የበይነመረብ ባንክ አገልግሎት,P,ICT and digital work,Software Design Development and Implementation Works
Team Leader- Mobile Health and Nutrition Team,የቡድን መሪ - የሞባይል ጤና እና የአመጋገብ ቡድን,P,Health,Health
Team Leader Payment and System Administrator,የቡድን መሪ ክፍያ እና የስርዓት አስተዳዳሪ,P,ICT and digital work,Software Design Development and Implementation Works
Team Leader Stock,የቡድን መሪ አክሲዮን,P,Business,Wholesale business in specialized stores
Team Leader -Subgrant Management,የቡድን መሪ -የሱብግራንት አስተዳደር,P,Service,Finance and Administration Services
"Team Leader, Agent and Merchant Development Officer","የቡድን መሪ, ወኪል እና የነጋዴ ልማት ኦፊሰር",P,Service,Business Promotion Service
"Team Leader, Card Banking","የቡድን መሪ, የካርድ ባንኪንግ",P,Service,Finance and Administration Services
"Team Leader, Credit Risk","የቡድን መሪ, የብድር ስጋት",P,Service,Finance and Administration Services
"Team Leader, Dispute and Fraud Monitoring Officer","የቡድን መሪ, ክርክር እና ማጭበርበር ክትትል ኦፊሰር",P,Service,Security Service
"Team Leader, Marketing","የቡድን መሪ, ግብይት",P,Service,Advertising
"Team Leader, Mechanical Workshop","የቡድን መሪ, ሜካኒካል አውደ ጥናት",P,Service,Motor vehicle repair work
Tech Host,የቴክኖሎጂ አስተናጋጅ,P,ICT and digital work,Tele Center Service
Tech Lab manager,የቴክ ላብ ሥራ አስኪያጅ,P,ICT and digital work,General research and experimental development work
Tech Lead,የቴክኖሎጂ መሪ,P,ICT and digital work,Software Design Development and Implementation Works
Tech Marketer,ቴክ ማርኬተር,P,Service,Advertising
Tech Support,የቴክኖሎጂ ድጋፍ,P,ICT and digital work,Computer network design deployment and implementation tasks
Tech Support lead,የቴክኖሎጂ ድጋፍ መሪ,P,ICT and digital work,Computer network design deployment and implementation tasks
Tech Vlogger,ቴክ ቭሎገር,U,Tourism and art,Motion Picture Works
TechFin Lead,TechFin መሪ,P,ICT and digital work,Software Design Development and Implementation Works
Techinical Manager for Pharmaceutical Wholesale,ለፋርማሲዩቲካል ጅምላ ሽያጭ ቴክኒካል አስተዳዳሪ,P,Business,Wholesale of chemical and chemical products
Technic /Maintenance Manager,ቴክኒክ / የጥገና ሥራ አስኪያጅ,P,Service,General maintenance
Technic Division Head,የቴክኒክ ክፍል ኃላፊ,P,Service,General maintenance
Technic Head,ቴክኒክ ኃላፊ,P,Service,General maintenance
Technicain mechanical and Technician electrical,ቴክኒሻን ሜካኒካል እና ቴክኒሽያን ኤሌክትሪክ,P,Service,General maintenance
Technical & Regulatory Manager,የቴክኒክ እና የቁጥጥር ሥራ አስኪያጅ,P,Service,Quality Management Consulting Service
Technical Advisor – Commodity Management Risk and Compliance Data Analyst,የቴክኒክ አማካሪ - የሸቀጦች አስተዳደር ስጋት እና ተገዢነት ውሂብ ተንታኝ,P,Service,Quality Management Consulting Service
Technical Advisor & Inspector for Production Plant,የምርት ፋብሪካ የቴክኒክ አማካሪ እና ተቆጣጣሪ,P,Manufacturing,Another unmentioned factory works
"Technical Advisor & System Inspector for Construction Machineries, Trucks and Vehicles",ለግንባታ ማሽነሪዎች፣ መኪናዎች እና ተሽከርካሪዎች የቴክኒክ አማካሪ እና የሥርዓት መርማሪ,P,Construction,General Contractor (Except for the from Water works contractor
Technical Advisor (Economic Cooperation and Privat Sector Development),የቴክኒክ አማካሪ (የኢኮኖሚ ትብብር እና የግሉ ዘርፍ ልማት),P,Service,Business Promotion Service
Technical Advisor I - Climate,የቴክኒክ አማካሪ I - የአየር ንብረት,P,Service,Consulting around natural science
Technical Advisor I – Nutrition,የቴክኒክ አማካሪ I - የተመጣጠነ ምግብ,P,Health,Health
Technical Advisor I - Private Sector Engagement (PSE) and Business Growth,የቴክኒክ አማካሪ I - የግል ዘርፍ ተሳትፎ (PSE) እና የንግድ እድገት,P,Service,Business Promotion Service
"Technical Advisor I – Research, Learning & Adapting",የቴክኒክ አማካሪ I - ምርምር፣ መማር እና ማላመድ,P,Service,Research and experimental development work in engineering and technology
Technical Advisor I – Youth Engagement,የቴክኒክ አማካሪ I - የወጣቶች ተሳትፎ,P,Service,Social work services
Technical Advisor II - Animal Feed and Nutrition,የቴክኒክ አማካሪ II - የእንስሳት መኖ እና አመጋገብ,P,agriculture,Livestock development
"Technical Advisor II - Gender, Protection & Safeguarding",የቴክኒክ አማካሪ II - ጾታ፣ ጥበቃ እና ጥበቃ,P,Service,Social work services
Technical Advisor II - Seed Systems Specialist,የቴክኒክ አማካሪ II - የዘር ስርዓቶች ስፔሻሊስት,P,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds"
"Technical Advisor II – Technical Director and Policy Lead, Ethiopia Seed Activity","የቴክኒክ አማካሪ II - የቴክኒክ ዳይሬክተር እና የፖሊሲ መሪ, የኢትዮጵያ ዘር እንቅስቃሴ",P,agriculture,"Vegetable, Fruit Production, Seedling and Plant Seeds"
Technical Advisor to CEO & DCEO,ለዋና ሥራ አስፈፃሚ እና ለዲሲኦ የቴክኒክ አማካሪ,P,Service,Consulting service around social science
Technical Advisor to the Managing Director,ለማኔጅመንት ዳይሬክተር የቴክኒክ አማካሪ,P,Service,Consulting service around social science
"Technical Advisor, Biomedical Engineer","የቴክኒክ አማካሪ, ባዮሜዲካል መሐንዲስ",P,Health,Health
"Technical Advisor, Epidemic Ready Primary Health Care",የቴክኒክ አማካሪ፣ ወረርሽኝ ዝግጁ የሆነ የመጀመሪያ ደረጃ የጤና እንክብካቤ,P,Health,Health
"Technical Advisor, LSS -Consultant","የቴክኒክ አማካሪ, LSS -አማካሪ",P,Service,Consulting service around social science
"Technical Advisor, RSS -Consultant","የቴክኒክ አማካሪ, RSS -አማካሪ",P,Service,Consulting service around social science
Technical and Maintenance Section Head,የቴክኒክ እና የጥገና ክፍል ኃላፊ,P,Service,General maintenance
Technical assistance,የቴክኒክ እርዳታ,P,Service,Other services
Technical Assistance for Co-facilitation of Advocacy Training of Trainers (ToT) workshop and Advocacy Strategy for NPI EXPAND Grantees in Ethiopia,ቴክኒካል እገዛ የአሰልጣኞች የጥብቅና ማስተባበያ ስልጠና (ቶቲ) አውደ ጥናት እና የጥብቅና ስትራቴጂ ለ NPI EXPAND ለጋሾች በኢትዮጵያ,P,Service,Consulting service around social science
"Technical Assistance Manager, Innovative Finance",የቴክኒክ ድጋፍ ሥራ አስኪያጅ ፣ ፈጠራ ፋይናንስ,P,Service,Finance and Administration Services
Technical Assistant: System recovery and resilience,ቴክኒካል ረዳት፡ የስርዓት መልሶ ማግኛ እና ማገገም,P,ICT and digital work,Software Design Development and Implementation Works
Technical Business Analyst,የቴክኒክ ንግድ ተንታኝ,P,Service,Business Promotion Service
Technical Clerk,የቴክኒክ ጸሐፊ,P,Service,Other services
Technical cofounder,የቴክኒክ መስራች,U,ICT and digital work,Software Design Development and Implementation Works
Technical Content Writer For software Development,ለሶፍትዌር ልማት ቴክኒካዊ ይዘት ጸሐፊ,P,ICT and digital work,Software Design Development and Implementation Works
Technical Coordinator,የቴክኒክ አስተባባሪ,P,Service,Other services
Technical Customer Support Expert,የቴክኒክ የደንበኛ ድጋፍ ባለሙያ,P,Service,Other services
Technical Department Manager,የቴክኒክ ክፍል ሥራ አስኪያጅ,P,Service,Other services
Technical Director,የቴክኒክ ዳይሬክተር,P,Service,Other services
